%Vol	Density Kg/l
0	0,99823
0,1	0,99808
0,2	0,99793
0,3	0,99778
0,4	0,99763
0,5	0,99749
0,6	0,99734
0,7	0,99719
0,8	0,99704
0,9	0,9969
1	0,99675
1,1	0,9966
1,2	0,99645
1,3	0,99631
1,4	0,99616
1,5	0,99601
1,6	0,99587
1,7	0,99572
1,8	0,99557
1,9	0,99543
2	0,99528
2,1	0,99513
2,2	0,99499
2,3	0,99485
2,4	0,9947
2,5	0,99456
2,6	0,99442
2,7	0,99427
2,8	0,99413
2,9	0,99398
3	0,99384
3,1	0,9937
3,2	0,99355
3,3	0,99341
3,4	0,99327
3,5	0,99313
3,6	0,99299
3,7	0,99285
3,8	0,99271
3,9	0,99257
4	0,99243
4,1	0,99229
4,2	0,99215
4,3	0,99201
4,4	0,99188
4,5	0,99174
4,6	0,99161
4,7	0,99147
4,8	0,99133
4,9	0,9912
5	0,99106
5,1	0,99093
5,2	0,9908
5,3	0,99066
5,4	0,99052
5,5	0,9904
5,6	0,99026
5,7	0,99013
5,8	0,98999
5,9	0,98986
6	0,98973
6,1	0,9896
6,2	0,98947
6,3	0,98934
6,4	0,98921
6,5	0,98908
6,6	0,98895
6,7	0,98882
6,8	0,9887
6,9	0,98857
7	0,98845
7,1	0,98832
7,2	0,98819
7,3	0,98806
7,4	0,98794
7,5	0,98781
7,6	0,98769
7,7	0,98756
7,8	0,98744
7,9	0,98731
8	0,98719
8,1	0,98706
8,2	0,98694
8,3	0,98682
8,4	0,9867
8,5	0,98658
8,6	0,98645
8,7	0,98633
8,8	0,9862
8,9	0,98608
9	0,98596
9,1	0,98584
9,2	0,98572
9,3	0,9856
9,4	0,98549
9,5	0,98536
9,6	0,98524
9,7	0,98512
9,8	0,985
9,9	0,98488
10	0,98476
10,1	0,98463
10,2	0,98452
10,3	0,9844
10,4	0,98428
10,5	0,98416
10,6	0,98404
10,7	0,98391
10,8	0,98379
10,9	0,98367
11	0,98356
11,1	0,98344
11,2	0,98332
11,3	0,9832
11,4	0,98308
11,5	0,98296
11,6	0,98285
11,7	0,98273
11,8	0,98261
11,9	0,9825
12	0,98238
12,1	0,98226
12,2	0,98214
12,3	0,98203
12,4	0,98191
12,5	0,9818
12,6	0,98168
12,7	0,98156
12,8	0,98145
12,9	0,98133
13	0,98122
13,1	0,98111
13,2	0,981
13,3	0,98089
13,4	0,98077
13,5	0,98066
13,6	0,98054
13,7	0,98043
13,8	0,98031
13,9	0,9802
14	0,98009
14,1	0,97998
14,2	0,97987
14,3	0,97975
14,4	0,97964
14,5	0,97953
14,6	0,97942
14,7	0,9793
14,8	0,97919
14,9	0,97908
15	0,97897
15,1	0,97886
15,2	0,97875
15,3	0,97863
15,4	0,97852
15,5	0,97841
15,6	0,9783
15,7	0,97819
15,8	0,97808
15,9	0,97797
16	0,97786
16,1	0,97775
16,2	0,97764
16,3	0,97753
16,4	0,97742
16,5	0,97732
16,6	0,97721
16,7	0,9771
16,8	0,97699
16,9	0,97689
17	0,97678
17,1	0,97667
17,2	0,97657
17,3	0,97645
17,4	0,97634
17,5	0,97624
17,6	0,97613
17,7	0,97602
17,8	0,97591
17,9	0,97581
18	0,9757
18,1	0,97559
18,2	0,97548
18,3	0,97538
18,4	0,97527
18,5	0,97517
18,6	0,97507
18,7	0,97496
18,8	0,97485
18,9	0,97474
19	0,97464
19,1	0,97454
19,2	0,97444
19,3	0,97433
19,4	0,97423
19,5	0,97412
19,6	0,97402
19,7	0,97391
19,8	0,97381
19,9	0,9737
20	0,97359
20,1	0,97349
20,2	0,97339
20,3	0,97328
20,4	0,97317
20,5	0,97306
20,6	0,97295
20,7	0,97285
20,8	0,97275
20,9	0,97264
21	0,97253
21,1	0,97242
21,2	0,97232
21,3	0,97221
21,4	0,9721
21,5	0,97199
21,6	0,97188
21,7	0,97178
21,8	0,97167
21,9	0,97156
22	0,97145
22,1	0,97134
22,2	0,97123
22,3	0,97113
22,4	0,97102
22,5	0,9709
22,6	0,97079
22,7	0,97068
22,8	0,97057
22,9	0,97047
23	0,97036
23,1	0,97025
23,2	0,97013
23,3	0,97002
23,4	0,96991
23,5	0,9698
23,6	0,9697
23,7	0,96958
23,8	0,96947
23,9	0,96936
24	0,96925
24,1	0,96913
24,2	0,96902
24,3	0,96891
24,4	0,9688
24,5	0,96869
24,6	0,96857
24,7	0,96846
24,8	0,96835
24,9	0,96823
25	0,96812
25,1	0,96801
25,2	0,96789
25,3	0,96778
25,4	0,96767
25,5	0,96756
25,6	0,96744
25,7	0,96733
25,8	0,96722
25,9	0,9671
26	0,96699
26,1	0,96687
26,2	0,96676
26,3	0,96664
26,4	0,96653
26,5	0,96641
26,6	0,9663
26,7	0,96618
26,8	0,96606
26,9	0,96595
27	0,96583
27,1	0,96571
27,2	0,96559
27,3	0,96548
27,4	0,96536
27,5	0,96525
27,6	0,96513
27,7	0,96501
27,8	0,96489
27,9	0,96477
28	0,96465
28,1	0,96454
28,2	0,96442
28,3	0,9643
28,4	0,96418
28,5	0,96406
28,6	0,96393
28,7	0,96381
28,8	0,96369
28,9	0,96358
29	0,96346
29,1	0,96334
29,2	0,96322
29,3	0,9631
29,4	0,96297
29,5	0,96285
29,6	0,96273
29,7	0,96261
29,8	0,96249
29,9	0,96236
30	0,96224
30,1	0,96212
30,2	0,96199
30,3	0,96187
30,4	0,96175
30,5	0,96163
30,6	0,9615
30,7	0,96138
30,8	0,96125
30,9	0,96112
31	0,961
31,1	0,96087
31,2	0,96075
31,3	0,96062
31,4	0,96049
31,5	0,96036
31,6	0,96024
31,7	0,96011
31,8	0,95998
31,9	0,95985
32	0,95972
32,1	0,95958
32,2	0,95945
32,3	0,95932
32,4	0,9592
32,5	0,95906
32,6	0,95893
32,7	0,9588
32,8	0,95866
32,9	0,95852
33	0,95839
33,1	0,95826
33,2	0,95812
33,3	0,95799
33,4	0,95785
33,5	0,95771
33,6	0,95758
33,7	0,95745
33,8	0,95731
33,9	0,95717
34	0,95703
34,1	0,95689
34,2	0,95676
34,3	0,95662
34,4	0,95648
34,5	0,95634
34,6	0,95619
34,7	0,95605
34,8	0,95591
34,9	0,95577
35	0,95563
35,1	0,95549
35,2	0,95535
35,3	0,95521
35,4	0,95506
35,5	0,95492
35,6	0,95478
35,7	0,95463
35,8	0,95449
35,9	0,95434
36	0,95419
36,1	0,95405
36,2	0,9539
36,3	0,95375
36,4	0,9536
36,5	0,95346
36,6	0,95331
36,7	0,95316
36,8	0,95301
36,9	0,95287
37	0,95272
37,1	0,95257
37,2	0,95242
37,3	0,95227
37,4	0,95211
37,5	0,95196
37,6	0,95181
37,7	0,95166
37,8	0,95151
37,9	0,95135
38	0,9512
38,1	0,95104
38,2	0,95089
38,3	0,95074
38,4	0,95058
38,5	0,95043
38,6	0,95027
38,7	0,95011
38,8	0,94996
38,9	0,9498
39	0,94964
39,1	0,94949
39,2	0,94933
39,3	0,94917
39,4	0,94901
39,5	0,94885
39,6	0,94869
39,7	0,94853
39,8	0,94837
39,9	0,94821
40	0,94805
40,1	0,94789
40,2	0,94773
40,3	0,94757
40,4	0,94741
40,5	0,94725
40,6	0,94708
40,7	0,94692
40,8	0,94676
40,9	0,94659
41	0,94643
41,1	0,94627
41,2	0,9461
41,3	0,94594
41,4	0,94577
41,5	0,9456
41,6	0,94544
41,7	0,94527
41,8	0,9451
41,9	0,94494
42	0,94477
42,1	0,9446
42,2	0,94443
42,3	0,94427
42,4	0,9441
42,5	0,94393
42,6	0,94376
42,7	0,94359
42,8	0,94342
42,9	0,94325
43	0,94308
43,1	0,94291
43,2	0,94274
43,3	0,94256
43,4	0,94239
43,5	0,94222
43,6	0,94205
43,7	0,94187
43,8	0,94169
43,9	0,94152
44	0,94135
44,1	0,94117
44,2	0,94099
44,3	0,94081
44,4	0,94064
44,5	0,94046
44,6	0,94028
44,7	0,94011
44,8	0,93993
44,9	0,93975
45	0,93957
45,1	0,9394
45,2	0,93922
45,3	0,93903
45,4	0,93885
45,5	0,93867
45,6	0,93849
45,7	0,93831
45,8	0,93813
45,9	0,93794
46	0,93776
46,1	0,93758
46,2	0,93739
46,3	0,93721
46,4	0,93703
46,5	0,93684
46,6	0,93666
46,7	0,93647
46,8	0,93629
46,9	0,9361
47	0,93591
47,1	0,93573
47,2	0,93554
47,3	0,93536
47,4	0,93516
47,5	0,93498
47,6	0,93479
47,7	0,93461
47,8	0,93441
47,9	0,93423
48	0,93404
48,1	0,93385
48,2	0,93366
48,3	0,93347
48,4	0,93328
48,5	0,93308
48,6	0,9329
48,7	0,9327
48,8	0,93251
48,9	0,93232
49	0,93213
49,1	0,93194
49,2	0,93174
49,3	0,93154
49,4	0,93136
49,5	0,93116
49,6	0,93095
49,7	0,93076
49,8	0,93056
49,9	0,93036
50	0,93017
50,1	0,92997
50,2	0,92977
50,3	0,92958
50,4	0,92938
50,5	0,92918
50,6	0,92898
50,7	0,92879
50,8	0,92859
50,9	0,92839
51	0,92818
51,1	0,92798
51,2	0,92778
51,3	0,92759
51,4	0,92739
51,5	0,92719
51,6	0,92699
51,7	0,92678
51,8	0,92658
51,9	0,92637
52	0,92617
52,1	0,92597
52,2	0,92577
52,3	0,92556
52,4	0,92537
52,5	0,92517
52,6	0,92496
52,7	0,92476
52,8	0,92455
52,9	0,92435
53	0,92415
53,1	0,92394
53,2	0,92373
53,3	0,92353
53,4	0,92332
53,5	0,92312
53,6	0,92291
53,7	0,92271
53,8	0,9225
53,9	0,92229
54	0,92209
54,1	0,92188
54,2	0,92167
54,3	0,92147
54,4	0,92126
54,5	0,92105
54,6	0,92084
54,7	0,92063
54,8	0,92042
54,9	0,92021
55	0,91999
55,1	0,91979
55,2	0,91958
55,3	0,91937
55,4	0,91915
55,5	0,91895
55,6	0,91874
55,7	0,91852
55,8	0,91831
55,9	0,9181
56	0,91789
56,1	0,91768
56,2	0,91747
56,3	0,91725
56,4	0,91704
56,5	0,91682
56,6	0,91661
56,7	0,91639
56,8	0,91618
56,9	0,91597
57	0,91575
57,1	0,91554
57,2	0,91532
57,3	0,9151
57,4	0,91489
57,5	0,91467
57,6	0,91446
57,7	0,91424
57,8	0,91403
57,9	0,91381
58	0,91358
58,1	0,91337
58,2	0,91315
58,3	0,91293
58,4	0,91271
58,5	0,91249
58,6	0,91227
58,7	0,91206
58,8	0,91183
58,9	0,9116
59	0,91138
59,1	0,91116
59,2	0,91094
59,3	0,91072
59,4	0,9105
59,5	0,91027
59,6	0,91005
59,7	0,90982
59,8	0,9096
59,9	0,90938
60	0,90916
60,1	0,90893
60,2	0,90871
60,3	0,90848
60,4	0,90826
60,5	0,90803
60,6	0,90781
60,7	0,90758
60,8	0,90736
60,9	0,90713
61	0,90691
61,1	0,90668
61,2	0,90646
61,3	0,90622
61,4	0,90599
61,5	0,90577
61,6	0,90554
61,7	0,90532
61,8	0,90509
61,9	0,90486
62	0,90463
62,1	0,9044
62,2	0,90417
62,3	0,90395
62,4	0,90371
62,5	0,90348
62,6	0,90326
62,7	0,90303
62,8	0,90279
62,9	0,90256
63	0,90234
63,1	0,9021
63,2	0,90187
63,3	0,90163
63,4	0,90141
63,5	0,90117
63,6	0,90094
63,7	0,90071
63,8	0,90048
63,9	0,90025
64	0,90001
64,1	0,89977
64,2	0,89954
64,3	0,89931
64,4	0,89908
64,5	0,89884
64,6	0,89861
64,7	0,89837
64,8	0,89814
64,9	0,89791
65	0,89767
65,1	0,89743
65,2	0,8972
65,3	0,89696
65,4	0,89672
65,5	0,89649
65,6	0,89626
65,7	0,89602
65,8	0,89578
65,9	0,89555
66	0,89531
66,1	0,89507
66,2	0,89483
66,3	0,89459
66,4	0,89435
66,5	0,89411
66,6	0,89387
66,7	0,89363
66,8	0,89339
66,9	0,89315
67	0,89292
67,1	0,89268
67,2	0,89243
67,3	0,89219
67,4	0,89195
67,5	0,89171
67,6	0,89147
67,7	0,89122
67,8	0,89098
67,9	0,89074
68	0,8905
68,1	0,89025
68,2	0,89001
68,3	0,88977
68,4	0,88952
68,5	0,88928
68,6	0,88903
68,7	0,88879
68,8	0,88855
68,9	0,8883
69	0,88805
69,1	0,88781
69,2	0,88756
69,3	0,88732
69,4	0,88707
69,5	0,88682
69,6	0,88658
69,7	0,88632
69,8	0,88608
69,9	0,88583
70	0,88559
70,1	0,88533
70,2	0,88509
70,3	0,88484
70,4	0,88458
70,5	0,88434
70,6	0,88409
70,7	0,88384
70,8	0,88359
70,9	0,88334
71	0,88309
71,1	0,88284
71,2	0,88258
71,3	0,88233
71,4	0,88208
71,5	0,88183
71,6	0,88158
71,7	0,88132
71,8	0,88107
71,9	0,88081
72	0,88056
72,1	0,88031
72,2	0,88005
72,3	0,8798
72,4	0,87954
72,5	0,87929
72,6	0,87903
72,7	0,87878
72,8	0,87852
72,9	0,87826
73	0,87801
73,1	0,87775
73,2	0,87749
73,3	0,87724
73,4	0,87697
73,5	0,87672
73,6	0,87646
73,7	0,8762
73,8	0,87594
73,9	0,87569
74	0,87542
74,1	0,87516
74,2	0,87491
74,3	0,87465
74,4	0,87439
74,5	0,87412
74,6	0,87387
74,7	0,8736
74,8	0,87335
74,9	0,87308
75	0,87282
75,1	0,87256
75,2	0,8723
75,3	0,87204
75,4	0,87177
75,5	0,87151
75,6	0,87125
75,7	0,87098
75,8	0,87071
75,9	0,87045
76	0,87019
76,1	0,86992
76,2	0,86966
76,3	0,86939
76,4	0,86912
76,5	0,86885
76,6	0,86859
76,7	0,86832
76,8	0,86805
76,9	0,86778
77	0,86751
77,1	0,86724
77,2	0,86697
77,3	0,86671
77,4	0,86644
77,5	0,86617
77,6	0,8659
77,7	0,86562
77,8	0,86535
77,9	0,86508
78	0,86481
78,1	0,86453
78,2	0,86426
78,3	0,86399
78,4	0,86356
78,5	0,86336
78,6	0,86316
78,7	0,86289
78,8	0,86261
78,9	0,86234
79	0,86206
79,1	0,86179
79,2	0,86151
79,3	0,86124
79,4	0,86096
79,5	0,86069
79,6	0,86041
79,7	0,86012
79,8	0,85984
79,9	0,85957
80	0,85929
80,1	0,85901
80,2	0,85873
80,3	0,85846
80,4	0,85818
80,5	0,85789
80,6	0,85761
80,7	0,85733
80,8	0,85705
80,9	0,85677
81	0,85649
81,1	0,8562
81,2	0,85592
81,3	0,85564
81,4	0,85536
81,5	0,85506
81,6	0,85478
81,7	0,8545
81,8	0,85422
81,9	0,85393
82	0,85364
82,1	0,85336
82,2	0,85307
82,3	0,85278
82,4	0,8525
82,5	0,85222
82,6	0,85192
82,7	0,85164
82,8	0,85136
82,9	0,85106
83	0,85077
83,1	0,85049
83,2	0,8502
83,3	0,84991
83,4	0,84962
83,5	0,84932
83,6	0,84903
83,7	0,84874
83,8	0,84844
83,9	0,84815
84	0,84787
84,1	0,84757
84,2	0,84727
84,3	0,84698
84,4	0,84668
84,5	0,84639
84,6	0,84608
84,7	0,84579
84,8	0,84549
84,9	0,8452
85	0,84489
85,1	0,84459
85,2	0,84429
85,3	0,84399
85,4	0,84369
85,5	0,84339
85,6	0,84308
85,7	0,84278
85,8	0,84248
85,9	0,84217
86	0,84188
86,1	0,84157
86,2	0,84126
86,3	0,84095
86,4	0,84065
86,5	0,84035
86,6	0,84004
86,7	0,83973
86,8	0,83942
86,9	0,83912
87	0,83881
87,1	0,8385
87,2	0,83818
87,3	0,83787
87,4	0,83756
87,5	0,83725
87,6	0,83694
87,7	0,83663
87,8	0,83632
87,9	0,83601
88	0,83569
88,1	0,83537
88,2	0,83505
88,3	0,83473
88,4	0,83442
88,5	0,8341
88,6	0,83379
88,7	0,83347
88,8	0,83315
88,9	0,83282
89	0,83251
89,1	0,83219
89,2	0,83186
89,3	0,83154
89,4	0,83121
89,5	0,83089
89,6	0,83056
89,7	0,83024
89,8	0,82991
89,9	0,82958
90	0,82925
90,1	0,82893
90,2	0,82859
90,3	0,82826
90,4	0,82792
90,5	0,82759
90,6	0,82726
90,7	0,82692
90,8	0,82658
90,9	0,82625
91	0,8259
91,1	0,82556
91,2	0,82522
91,3	0,82488
91,4	0,82453
91,5	0,82419
91,6	0,82384
91,7	0,8235
91,8	0,82315
91,9	0,82281
92	0,82246
92,1	0,82212
92,2	0,82177
92,3	0,82141
92,4	0,82106
92,5	0,82071
92,6	0,82035
92,7	0,82
92,8	0,81964
92,9	0,81929
93	0,81893
93,1	0,81856
93,2	0,81821
93,3	0,81784
93,4	0,81748
93,5	0,81711
93,6	0,81675
93,7	0,81638
93,8	0,81601
93,9	0,81563
94	0,81526
94,1	0,81488
94,2	0,81451
94,3	0,81413
94,4	0,81375
94,5	0,81337
94,6	0,81299
94,7	0,8126
94,8	0,81222
94,9	0,81183
95	0,81145
95,1	0,81105
95,2	0,81067
95,3	0,81027
95,4	0,80988
95,5	0,80949
95,6	0,8091
95,7	0,80869
95,8	0,8083
95,9	0,8079
96	0,80749
96,1	0,80709
96,2	0,80668
96,3	0,80627
96,4	0,80586
96,5	0,80546
96,6	0,80505
96,7	0,80462
96,8	0,80421
96,9	0,80379
97	0,80336
97,1	0,80294
97,2	0,80252
97,3	0,80208
97,4	0,80165
97,5	0,80122
97,6	0,80079
97,7	0,80035
97,8	0,79991
97,9	0,79945
98	0,79901
98,1	0,79855
98,2	0,79809
98,3	0,79764
98,4	0,79717
98,5	0,79672
98,6	0,79625
98,7	0,79577
98,8	0,79529
98,9	0,79481
99	0,79432
99,1	0,79384
99,2	0,79336
99,3	0,79287
99,4	0,79237
99,5	0,79188
99,6	0,79137
99,7	0,79087
99,8	0,79038
99,9	0,78987
100	0,78934
